,joy,sadness,disgust,contempt,anger,fear,surprise,valence,engagement,smile,innerBrowRaise,browRaise,browFurrow,noseWrinkle,upperLipRaise,lipCornerDepressor,chinRaise,lipPucker,lipPress,lipSuck,mouthOpen,smirk,eyeClosure,attention,lidTighten,jawDrop,dimpler,eyeWiden,cheekRaise,lipStretch,pain
121,99,0,0,0,0,0,1,16,100,100,2,16,0,0,0,0,96,0,93,72,17,0,0,97,0,0,99,0,0,100,0
122,0,0,95,0,0,0,0,-100,100,0,0,0,0,86,18,100,96,4,0,0,0,0,0,81,0,0,0,0,0,0,1
123,99,0,0,0,0,0,10,96,100,100,9,41,0,0,0,0,0,0,1,1,33,0,0,90,0,0,2,100,12,36,0
124,97,0,0,0,0,0,5,50,100,100,2,62,0,1,86,0,4,0,0,6,2,0,0,98,0,1,0,12,0,0,0
125,0,0,11,0,0,0,0,-8,49,0,0,0,0,1,35,0,7,1,0,0,15,1,0,85,0,16,1,0,0,0,0
126,100,0,4,0,0,0,3,37,100,100,0,1,0,18,100,0,0,0,0,0,99,0,0,96,0,13,0,0,92,0,0
127,100,0,0,0,0,0,1,94,100,100,0,1,0,2,0,0,0,0,9,4,14,0,0,80,0,80,0,0,100,0,0
128,0,18,64,2,10,0,0,-41,60,8,0,0,98,53,0,0,1,0,2,0,0,10,0,92,19,0,3,0,0,2,1
129,99,0,0,0,0,0,19,100,100,100,0,56,0,0,0,0,0,19,0,0,33,0,0,98,0,11,0,97,0,0,0
130,0,0,1,0,0,5,1,0,0,0,0,4,0,0,0,1,1,0,0,0,19,1,0,59,0,22,3,79,0,0,1
131,0,100,4,1,1,1,0,-54,90,0,100,0,100,0,0,0,0,3,0,0,1,0,0,97,35,1,0,0,0,0,1
132,100,0,0,0,0,0,0,67,100,99,1,0,0,0,0,0,1,1,98,2,14,0,0,96,0,4,71,1,91,7,1
133,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,55,0,1,0,0,0,0,0
134,0,0,0,0,0,0,0,17,29,44,1,0,45,1,3,0,1,9,21,0,6,1,0,96,0,1,1,0,1,11,1
135,0,0,0,0,0,0,0,26,6,31,0,0,0,0,0,0,0,0,0,0,2,0,0,98,0,0,0,0,0,0,0
136,0,3,0,0,0,0,0,-11,0,0,66,0,8,0,0,0,0,0,0,0,0,0,0,99,1,3,0,0,0,0,1
137,99,0,2,0,0,0,76,30,100,100,3,76,0,24,96,0,1,0,15,0,100,0,0,97,0,3,0,100,2,32,0
138,0,7,100,1,97,0,0,-73,100,5,2,0,100,100,3,0,0,1,2,0,42,0,35,97,100,1,0,0,1,1,1
139,0,0,1,0,0,0,40,11,93,26,0,36,0,0,19,0,0,0,0,0,99,0,1,75,0,79,0,0,0,0,0
140,0,0,3,0,0,0,3,0,39,0,15,0,0,1,0,0,0,0,0,0,93,0,0,52,0,0,0,0,0,0,0
141,92,0,0,0,0,0,7,70,95,71,0,0,0,0,0,0,0,0,0,0,89,0,0,85,0,74,0,0,0,0,1
142,0,0,0,0,0,0,26,-62,100,0,8,99,0,0,0,91,0,0,5,0,0,0,0,87,0,4,0,3,0,0,0
143,0,96,1,1,3,0,0,-41,52,0,61,0,100,0,0,0,0,1,0,0,0,0,0,96,30,1,0,0,0,0,1
144,0,0,0,0,1,0,0,-31,23,0,0,0,1,0,0,0,49,1,0,82,0,1,0,79,0,3,18,0,0,4,0
145,100,0,89,0,0,0,15,46,100,100,3,0,0,100,0,0,0,0,0,0,100,0,0,96,87,100,0,0,100,1,0
146,38,0,100,0,34,0,0,0,100,93,7,0,100,100,100,9,0,0,0,0,100,0,0,96,100,91,0,0,100,0,1
147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,1
148,0,1,0,0,0,0,58,-25,51,0,99,90,0,0,0,2,0,0,10,0,0,0,0,99,0,1,13,4,0,0,0
